"university","year","score","country","region","type","research_output","student_faculty_ratio","international_students","faculty_count","SFRatio_Nor","IntStu_Nor","FC_Nor"
"Massachusetts Institute of Technology (MIT) ",2017,100,"United States","North America","Private",100,4,3730,3065,0.933333333333333,0.119366900909032,0.143396413847911
"Stanford University",2017,98.7,"United States","North America","Private",100,3,3879,4725,0.966666666666667,0.124169943910773,0.225848110068047
"Harvard University",2017,98.3,"United States","North America","Private",100,5,5877,4646,0.9,0.188575849397202,0.221924204043113
"University of Cambridge",2017,97.2,"United Kingdom","Europe","Public",100,4,7925,5800,0.933333333333333,0.254593514280188,0.279243033825063
"California Institute of Technology (Caltech)",2017,96.9,"United States","North America","Private",100,2,692,968,1,0.0214363999742118,0.0392390602493419
"University of Oxford",2017,96.8,"United Kingdom","Europe","Public",100,3,8442,6708,0.966666666666667,0.271259106440591,0.324343118263547
"UCL",2017,95.6,"United Kingdom","Europe","Public",100,5,21824,7195,0.9,0.702630391335181,0.348532260467889
"ETH Zurich - Swiss Federal Institute of Technology",2017,94.2,"Switzerland","Europe","Public",100,7,7733,2719,0.833333333333333,0.248404358197408,0.12621069885263
"Imperial College London",2017,94.1,"United Kingdom","Europe","Public",100,5,11143,8000,0.9,0.358326349042615,0.388516366165003
"University of Chicago",2017,93,"United States","North America","Private",100,6,4696,2703,0.866666666666667,0.150506092450519,0.12541598370834
"Princeton University",2017,92.8,"United States","North America","Private",100,8,1912,1050,0.8,0.0607633292502095,0.0433119753638305
"National University of Singapore (NUS)",2017,91.5,"Singapore","Asia","Public",100,7,7551,4288,0.833333333333333,0.24253755399394,0.204142452689614
"Nanyang Technological University, Singapore (NTU)",2017,91.4,"Singapore","Asia","Public",100,6,6091,3812,0.866666666666667,0.195474179614467,0.180499677146973
"EPFL",2017,91.1,"Switzerland","Europe","Public",100,6,6426,1767,0.866666666666667,0.206272967571401,0.0789251477673471
"Yale University",2017,90.9,"United States","North America","Private",100,2,2537,5391,1,0.0809103217071755,0.258928127949138
"Cornell University",2017,90.1,"United States","North America","Private",100,8,5675,2843,0.8,0.182064341435111,0.132369741220881
"Johns Hopkins University",2017,89.3,"United States","North America","Private",100,3,5070,4855,0.966666666666667,0.162562052736767,0.232305170615408
"University of Pennsylvania",2017,89,"United States","North America","Private",100,4,4636,5154,0.933333333333333,0.14857198117465,0.247156409874336
"The University of Edinburgh",2017,88.9,"United Kingdom","Europe","Public",100,7,14637,4832,0.833333333333333,0.470956095674038,0.23116276759549
"Columbia University",2017,88.6,"United States","North America","Private",100,4,11252,7087,0.933333333333333,0.36183998452711,0.343167933243928
"King's College London",2017,87.7,"United Kingdom","Europe","Public",100,7,15075,4216,0.833333333333333,0.48507510798788,0.200566234540307
"The Australian National University",2017,87.3,"Australia","Oceania","Public",100,9,6496,1763,0.766666666666667,0.208529430726581,0.0787264689812745
"University of Michigan-Ann Arbor",2017,86.4,"United States","North America","Public",100,6,7341,7132,0.866666666666667,0.235768164528399,0.345403069587245
"Tsinghua University",2017,86,"China (Mainland)","Asia","Public",100,6,5420,6174,0.866666666666667,0.173844368512668,0.297819500322853
"Duke University",2017,86,"United States","North America","Private",100,3,3445,5673,0.966666666666667,0.110179872348656,0.272934982367258
"Northwestern University",2017,85.7,"United States","North America","Private",100,5,3846,3652,0.9,0.123106182709045,0.172552525704068
"The University of Hong Kong",2017,85.4,"Hong Kong SAR","Asia","Public",100,7,8311,2944,0.833333333333333,0.26703629682161,0.137386380569215
"University of California, Berkeley (UCB)",2017,85.2,"United States","North America","Public",100,11,9428,3701,0.7,0.3030430017407,0.174986340833458
"The University of Manchester",2017,84.8,"United Kingdom","Europe","Public",100,8,16079,4889,0.8,0.51743923667075,0.233993940297025
"McGill University",2017,84.1,"Canada","North America","Public",100,7,10827,3876,0.833333333333333,0.348140029656373,0.183678537724135
"University of California, Los Angeles (UCLA)",2017,84,"United States","North America","Public",100,10,6140,4487,0.733333333333333,0.197053703823093,0.214026722296727
"University of Toronto",2017,83.8,"Canada","North America","Public",100,8,27536,9881,0.8,0.886757784797885,0.481945065315651
"Ecole normale supérieure, Paris",2017,79.9,"France","Europe","Public",100,11,374,178,0.7,0.0111856102121075,0
"The University of Tokyo",2017,82.6,"Japan","Asia","Public",100,6,3983,4473,0.866666666666667,0.127522403455612,0.213331346545473
"Seoul National University",2017,82.1,"South Korea","Asia","Public",100,7,1914,3859,0.833333333333333,0.0608277996260718,0.182834152883326
"The Hong Kong University of Science and Technology",2017,81.8,"Hong Kong SAR","Asia","Public",100,8,3033,697,0.8,0.0968989749210238,0.0257785724929221
"Kyoto University",2017,81.7,"Japan","Asia","Public",100,6,2863,3911,0.866666666666667,0.091418992972729,0.18541697710227
"The London School of Economics and Political Science (LSE)",2017,81.7,"United Kingdom","Europe","Public",100,10,8274,1172,0.733333333333333,0.265843594868158,0.0493716783390453
"Peking University",2017,81.3,"China (Mainland)","Asia","Public",100,6,5436,5302,0.866666666666667,0.174360131519567,0.254507524959023
"University of California, San Diego (UCSD)",2017,80.6,"United States","North America","Public",100,8,8567,4545,0.8,0.275288504931984,0.21690756469478
"University of Bristol",2017,79.6,"United Kingdom","Europe","Public",100,8,7483,20311,0.8,0.240345561214622,1
"The University of Melbourne",2017,79.5,"Australia","Oceania","Public",100,19,21406,4835,0.433333333333333,0.689156082779963,0.231311776685044
"Fudan University",2017,79.4,"China (Mainland)","Asia","Public",100,6,5322,4526,0.866666666666667,0.170685320095416,0.215963840460935
"The Chinese University of Hong Kong (CUHK)",2017,78.1,"Hong Kong SAR","Asia","Public",100,8,6062,2201,0.8,0.194539359164464,0.100481796056226
"University of British Columbia",2017,78,"Canada","North America","Public",100,9,15399,6201,0.766666666666667,0.495519308877571,0.299160582128843
"The University of Sydney",2017,77.9,"Australia","Oceania","Public",100,13,25940,3571,0.633333333333333,0.835310424859777,0.168529280286097
"New York University (NYU)",2017,77.9,"United States","North America","Private",100,6,16218,7874,0.866666666666667,0.521919927793179,0.382257984403715
"KAIST - Korea Advanced Institute of Science & Technology",2017,77.9,"South Korea","Asia","Public",100,8,869,1307,0.8,0.0271420282380246,0.0560770873689962
"The University of New South Wales (UNSW Sydney)",2017,77.8,"Australia","Oceania","Public",100,14,21603,3219,0.6,0.695506414802398,0.151045547111707
"Brown University",2017,77.8,"United States","North America","Private",100,7,2002,1389,0.833333333333333,0.0636644961640126,0.0601500024834848
"The University of Queensland",2017,77.6,"Australia","Oceania","Public",100,12,22241,3513,0.666666666666667,0.716072464702469,0.165648437888045
"The University of Warwick",2017,77.6,"United Kingdom","Europe","Public",100,9,10459,2634,0.766666666666667,0.336277480497711,0.121988774648587
"University of Wisconsin-Madison",2017,75.7,"United States","North America","Public",100,8,5737,5166,0.8,0.184062923086842,0.247752446232554
"Ecole Polytechnique",2017,69.9,"France","Europe","Public",100,5,1248,633,0.9,0.0393591644639288,0.0225997119157602
"City University of Hong Kong",2017,75.4,"Hong Kong SAR","Asia","Public",100,6,5331,1483,0.866666666666667,0.170975436786796,0.0648189539561913
"Tokyo Institute of Technology (Tokyo Tech)",2017,74.9,"Japan","Asia","Public",100,7,1622,1492,0.833333333333333,0.0514151247501773,0.0652659812248547
"University of Amsterdam",2017,74.3,"Netherlands","Europe","Public",100,11,7969,6000,0.7,0.256011862549159,0.289176973128694
"Carnegie Mellon University",2017,74.2,"United States","North America","Private",100,9,5739,1534,0.766666666666667,0.184127393462704,0.0673521084786172
"University of Washington",2017,73.9,"United States","North America","Public",100,15,7362,2796,0.566666666666667,0.236445103474953,0.130035265484528
"Technical University of Munich",2017,72.4,"Germany","Europe","Public",100,5,11447,6663,0.9,0.368125846173683,0.32210798192023
"Shanghai Jiao Tong University",2017,72.2,"China (Mainland)","Asia","Public",100,9,6371,4386,0.766666666666667,0.204500032235188,0.209010082948393
"Delft University of Technology",2017,72.1,"Netherlands","Europe","Public",100,10,6104,2041,0.733333333333333,0.195893237057572,0.0925346446133214
"Osaka University",2017,71.7,"Japan","Asia","Public",100,7,2268,3127,0.833333333333333,0.0722390561536974,0.146475935032037
"University of Glasgow",2017,71.7,"United Kingdom","Europe","Public",100,9,11065,3314,0.766666666666667,0.355812004383986,0.155764168280932
"Monash University",2017,71.6,"Australia","Oceania","Public",100,15,31049,3852,0.566666666666667,1,0.182486465007699
"University of Illinois at Urbana-Champaign",2017,71.4,"United States","North America","Public",100,17,9987,2748,0.5,0.321062471794211,0.127651120051656
"University of Texas at Austin",2017,70.7,"United States","North America","Public",100,17,4953,2887,0.5,0.158790535748823,0.13455520786768
"Ludwig-Maximilians-Universität München",2017,70.2,"Germany","Europe","Public",100,9,5958,3914,0.766666666666667,0.191186899619625,0.185565986191824
"National Taiwan University (NTU)",2017,70.2,"Taiwan","Asia","Public",100,10,5058,2939,0.733333333333333,0.162175230481594,0.137138032086624
"University of Copenhagen",2017,70.2,"Denmark","Europe","Public",100,4,4135,7293,0.933333333333333,0.132422152021146,0.353399890726668
"Georgia Institute of Technology",2017,69.8,"United States","North America","Public",100,19,5675,1267,0.433333333333333,0.182064341435111,0.05409029950827
"Ruprecht-Karls-Universität Heidelberg",2017,69.7,"Germany","Europe","Public",100,5,4048,4100,0.9,0.129617690671137,0.194804549744201
"Lund University",2017,69.1,"Sweden","Europe","Public",100,9,6682,3040,0.766666666666667,0.214525175681774,0.142154671434958
"Durham University",2017,68.8,"United Kingdom","Europe","Public",100,11,6174,1775,0.7,0.198149700212752,0.0793225053394924
"Tohoku University",2017,68.7,"Japan","Asia","Public",100,5,1872,3323,0.9,0.0594739217329637,0.156211195549595
"University of Nottingham",2017,68.7,"United Kingdom","Europe","Public",100,10,9659,3386,0.733333333333333,0.310489330152795,0.159340386430239
"University of St Andrews",2017,68.2,"United Kingdom","Europe","Public",100,8,4377,1208,0.8,0.140223067500484,0.0511597874136989
"University of North Carolina, Chapel Hill",2017,68.1,"United States","North America","Public",100,7,2749,4646,0.833333333333333,0.0877441815485784,0.221924204043113
"KU Leuven",2017,67.9,"Belgium","Europe","Public",100,18,8485,2677,0.466666666666667,0.27264521952163,0.124124571598868
"University of Zurich",2017,67.8,"Switzerland","Europe","Public",100,6,5044,3761,0.866666666666667,0.161723937850558,0.177966522624547
"The University of Auckland",2017,67.3,"New Zealand","Oceania","Public",100,12,9924,2316,0.666666666666667,0.319031654954548,0.106193811155814
"University of Birmingham",2017,67.2,"United Kingdom","Europe","Public",100,9,10457,3586,0.766666666666667,0.336213010121849,0.16927432573387
"Pohang University of Science And Technology (POSTECH)",2017,67,"South Korea","Asia","Private",100,4,87,743,0.933333333333333,0.00193411127586874,0.0280633785327572
"The University of Sheffield",2017,66.9,"United Kingdom","Europe","Public",100,8,11090,3463,0.8,0.356617884082264,0.163164953062137
"Universidad de Buenos Aires (UBA)",2017,65.8,"Argentina","Latin America","Public",100,7,29516,16103,0.833333333333333,0.950583456901554,0.790989917051607
"University of California, Davis",2017,65.8,"United States","North America","Public",100,10,8414,3420,0.733333333333333,0.270356521178518,0.161029156111856
"University of Southampton",2017,65.6,"United Kingdom","Europe","Public",100,9,8417,2468,0.766666666666667,0.270453226742312,0.113743605026573
"The Ohio State University",2017,65.4,"United States","North America","Public",100,9,7029,6388,0.766666666666667,0.225710785893882,0.308448815377738
"Boston University",2017,65.2,"United States","North America","Private",100,10,8159,2642,0.733333333333333,0.262136548256076,0.122386132220732
"Rice University",2017,65,"United States","North America","Private",100,7,2278,996,0.833333333333333,0.0725614080330088,0.0406298117518502
"University of Helsinki",2017,64.7,"Finland","Europe","Public",100,8,1254,2855,0.8,0.0395525755915157,0.132965777579099
